Date,Open,High,Low,Close,Adj Close,Volume
29-Jun-22,1950,1954.3,1923,1936,1936.15,4591908331
30-Jun-22,1950,1965.75,1926,1930.75,1941.25,4845135823
01-Jul-22,1895,1954.35,1825.05,1944.75,1946.2,7729981908
04-Jul-22,1954,1966.6,1928,1961,1962.5,1998599537
05-Jul-22,1967,1989.1,1940.55,1958,1954.25,3063028103
06-Jul-22,1958,2025.5,1941.35,2020,2013.55,3878235910
07-Jul-22,2130,2171.6,2102.55,2129.95,2127.5,12608232134
08-Jul-22,2140,2154,2110.5,2143,2144.35,4354609895
11-Jul-22,2153,2173.85,2126.6,2155.65,2163.6,2634272451
12-Jul-22,2132,2142,2114.45,2131,2130,2335987660
13-Jul-22,2130,2141.8,2107.45,2114,2111.4,2482430387
14-Jul-22,2132,2140,2113,2128,2127.45,1630549190
15-Jul-22,2135,2193.15,2132.2,2188.95,2189.7,3787858268
18-Jul-22,2196,2247.3,2194.05,2231,2237.45,4499022003
19-Jul-22,2232.5,2253,2216.7,2236,2241.2,1939706890
20-Jul-22,2280,2298,2261.1,2269,2271.2,3698699138
21-Jul-22,2285,2298,2264,2289,2288.6,2545174435
22-Jul-22,2299,2329.95,2283.1,2324,2325,2748710039
25-Jul-22,2339.3,2348.8,2313,2325,2328.85,2909428755
26-Jul-22,2334.95,2334.95,2286.55,2291,2293.2,2636273434
27-Jul-22,2285.1,2311,2266.55,2305,2303.55,3342320767
28-Jul-22,2321,2341.5,2305.05,2330.5,2334.65,2623488740
29-Jul-22,2355,2392.5,2339.05,2355,2352.05,2930225071
01-Aug-22,2364.8,2381.05,2339,2375.6,2376.25,1372089123
02-Aug-22,2370,2397.8,2357.05,2381,2384.95,1853019321
03-Aug-22,2395,2425.9,2355,2418.75,2416.4,2875744639
04-Aug-22,2429.95,2430.45,2370.95,2416.55,2423.65,2443763433
05-Aug-22,2425.2,2472.4,2417.35,2428,2432.8,5968418136
08-Aug-22,2460,2474.7,2433.15,2447.5,2446.95,3861143029
10-Aug-22,2469.9,2469.9,2417.1,2426.85,2433.6,2592174974
11-Aug-22,2446.2,2486,2446.2,2468.4,2472.35,2789127720
12-Aug-22,2472,2493,2461.9,2472.6,2471.95,1884958383
16-Aug-22,2461.1,2499.5,2435,2491,2493.85,2573630502
17-Aug-22,2495,2523.15,2480.65,2486,2492.2,2157925616
18-Aug-22,2492.2,2503.9,2467.3,2481.35,2478.7,2052953458
19-Aug-22,2498.95,2498.95,2430.9,2439.3,2440.6,1846706908
22-Aug-22,2440,2458,2408,2422.4,2417.6,2299357390
23-Aug-22,2407,2501.95,2400,2484.1,2480.2,3489030666
24-Aug-22,2495,2495,2441.05,2458,2460.7,1654840132
25-Aug-22,2473,2501.6,2456.7,2464.4,2466.45,1819240058
26-Aug-22,2483.05,2556,2481.55,2535,2532.9,6074992319
29-Aug-22,2457.25,2540.9,2457.25,2536.3,2531.7,2894974784
30-Aug-22,2545,2623.1,2543,2594.65,2604.65,4647422654
01-Sep-22,2592.95,2647.15,2565.65,2625,2622,3768054304
02-Sep-22,2631,2645,2607.05,2615,2612.6,2103544514
05-Sep-22,2625,2640,2610.85,2620,2627.35,1926359656
06-Sep-22,2631.7,2646.9,2611,2623.45,2631.65,1788379662
07-Sep-22,2607,2641.4,2600.4,2639.5,2637.75,1152937394
